Brand, Product Name, Product Price
Lenovo,Lenovo Laptop ThinkPad A485 (20MU000VUS) AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 500 GB HDD AMD Radeon Vega 8 14.0" Windows 10 Pro 64-bit,Rp10.860.758
Acer America,Acer Laptop Aspire 1 A114-32-C0TU Intel Celeron N4100 (1.10 GHz) 4 GB Memory 64 GB Flash Intel UHD Graphics 600 14.0" Windows 10 Home 64-Bit,Rp3.800.358
Lenovo,Lenovo Laptop ThinkPad E585 (20KV000XUS) AMD Ryzen 3 2200U (2.50 GHz) 4 GB Memory 500 GB HDD AMD Radeon Vega 3 15.6" Windows 10 Pro 64-Bit,Rp6.944.008
Lenovo,Lenovo Laptop ThinkPad E485 (20KU001KUS) AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 14.0" Windows 10 Pro 64-Bit,Rp9.588.199
ASUS,ASUS Laptop X540UA-DB71| Intel Core i7-8550U Processor| 8 GB DDR4 RAM| 1 TB FireCuda SSHD| 15.6" Full HD Display| DVD-RW Drive| Micro SD Card Reader,Rp9.836.716
Lenovo,Lenovo Laptop P52 ThinkPad P52 Intel Xeon E-2176M (2.70 GHz) 16 GB Memory 512 GB SSD NVIDIA Quadro P2000 15.6" Windows 10 Pro 64-bit,Rp33.340.347
Lenovo,Lenovo Laptop IdeaPad 330 81DM0007US Intel Core i7 8th Gen 8550U (1.80 GHz) 12 GB Memory 1 TB HDD Intel UHD Graphics 620 17.3" Windows 10 Home 64-Bit,Rp10.597.572
ASUS,ASUS X540MA-DB22 15.6" Full HD Quad Core Laptop| Intel Pentium Silver N5000 Processor (up to 2.7 GHz)| 4 GB LPDDR4| 1 TB HDD| 802.11ac Wi-Fi| DVD Drive| Windows 10,Rp5.239.888
ASUS,ASUS Laptop X540YA-DB02 AMD E2-Series E2-6110 (1.50 GHz) 4 GB LPDDR3 Memory 500 GB HDD AMD Radeon R2 Series 15.6" Windows 10 Home 64-Bit,Rp4.289.716
ASUS,ASUSPRO P5440UF-XB74 Thin and Light Business Laptop| 14" Wideview FHD Display| 8th Gen Intel Core i7-8550U 1.8 GHz Processor| 512 GB SSD| 16 GB RAM| NVIDIA GeForce MX130| Windows 10 Pro| Fingerprint,Rp18.016.572
